score,time,difficulty,label
3,18,1,Need Practice
7,45,1,Good
4,20,2,Need Practice
9,60,2,Good
2,10,1,Need Practice
8,70,2,Good
11,80,3,Good
1,5,1,Need Practice
6,40,2,Good
3,25,1,Need Practice
12,85,3,Good
5,35,2,Need Practice
7,50,2,Good
0,8,1,Need Practice
14,90,3,Good
2,15,2,Need Practice
10,78,3,Good
4,30,2,Need Practice
6,33,2,Need Practice
9,58,2,Good
3,22,1,Need Practice
5,27,2,Need Practice
13,88,3,Good
8,65,2,Good
1,12,1,Need Practice
11,81,3,Good
7,48,2,Good
2,18,1,Need Practice
6,38,2,Need Practice
10,76,3,Good
2,10,1,Need Practice
9,79,3,Need Practice
3,9,1,Need Practice
10,36,1,Need Practice
8,36,1,Need Practice
25,107,1,Good
3,14,1,Need Practice
19,78,1,Good
3,8,1,Need Practice
4,13,1,Need Practice
7,78,1,Need Practice
7,51,3,Need Practice
2,48,1,Need Practice
18,142,3,Good
6,39,1,Need Practice
6,19,1,Need Practice
4,45,1,Need Practice
5,32,1,Need Practice
4,10,1,Need Practice
3,10,1,Need Practice
5,57,1,Need Practice
